iter	Passed	Remaining
307	1709	3840
308	1712	3829
309	1714	3816
310	1717	3804
311	1719	3792
312	1725	3786
313	1730	3779
314	1732	3767
315	1734	3754
316	1741	3752
317	1744	3741
318	1746	3728
319	1751	3721
320	1753	3709
321	1755	3697
322	1758	3685
323	1760	3672
324	1762	3661
325	1767	3654
326	1769	3642
327	1771	3630
328	1774	3618
329	1776	3607
330	1779	3596
331	1782	3585
332	1784	3574
333	1786	3562
334	1788	3550
335	1790	3538
336	1793	3527
337	1795	3516
338	1797	3505
339	1799	3494
340	1802	3482
341	1804	3471
342	1806	3460
343	1809	3450
344	1812	3440
345	1815	3431
346	1817	3420
347	1820	3409
348	1822	3399
349	1825	3389
350	1827	3378
351	1829	3367
352	1831	3356
353	1833	3345
354	1835	3335
355	1838	3325
356	1840	3315
357	1849	3316
358	1852	3307
359	1855	3299
360	1858	3289
361	1860	3279
362	1863	3269
363	1865	3259
364	1867	3248
365	1870	3240
366	1873	3231
367	1876	3222
368	1878	3212
369	1880	3201
370	1882	3191
371	1885	3183
372	1887	3173
373	1890	3164
374	1892	3154
375	1895	3145
376	1901	3142
377	1905	3134
378	1907	3124
379	1909	3114
380	1911	3105
381	1915	3098
382	1917	3088
383	1919	3079
384	1921	3069
385	1923	3059
386	1925	3050
387	1927	3040
388	1930	3032
389	1934	3026
390	1938	3019
391	1940	3010
392	1949	3011
393	1951	3002
394	1954	2993
395	1956	2983
396	1958	2974
397	1961	2967
398	1964	2959
399	1967	2950
400	1969	2941
401	1971	2932
402	1973	2923
403	1979	2920
404	1981	2911
405	1983	2902
406	1985	2892
407	1987	2883
408	1992	2878
409	1996	2872
410	1998	2864
411	2002	2858
412	2005	2850
413	2008	2842
414	2011	2834
415	2013	2826
416	2016	2818
417	2018	2809
418	2021	2803
419	2027	2799
420	2029	2791
421	2032	2783
422	2039	2781
423	2042	2774
424	2044	2766
425	2046	2757
426	2048	2749
427	2053	2744
428	2057	2737
429	2059	2729
430	2061	2721
431	2064	2714
432	2068	2708
433	2070	2700
434	2077	2698
435	2084	2696
436	2090	2692
437	2092	2684
438	2094	2676
439	2096	2667
440	2099	2660
441	2101	2653
442	2104	2645
443	2106	2637
444	2108	2629
445	2110	2621
446	2113	2614
447	2116	2607
448	2118	2600
449	2121	2592
450	2123	2585
451	2128	2580
452	2131	2573
453	2133	2565
454	2135	2557
455	2137	2549
456	2139	2542
457	2141	2534
458	2145	2528
459	2148	2521
460	2150	2513
461	2152	2506
462	2154	2498
463	2156	2491
464	2159	2484
465	2162	2477
466	2164	2470
467	2166	2463
468	2169	2455
469	2171	2448
470	2175	2442
471	2177	2436
472	2179	2428
473	2182	2421
474	2184	2414
475	2186	2406
476	2189	2401
477	2192	2393
478	2194	2386
479	2196	2379
480	2198	2372
481	2200	2365
482	2205	2360
483	2209	2355
484	2211	2348
485	2213	2341
486	2215	2334
487	2218	2327
488	2221	2321
489	2225	2316
490	2232	2314
491	2236	2309
492	2241	2305
493	2243	2298
494	2245	2291
495	2248	2285
496	2251	2278
497	2253	2271
498	2255	2264
499	2257	2257
500	2259	2250
501	2261	2243
502	2268	2241
503	2270	2234
504	2272	2227
505	2274	2220
506	2277	2214
507	2280	2208
508	2283	2202
509	2285	2195
510	2287	2188
511	2290	2183
512	2293	2177
513	2296	2171
514	2304	2169
515	2308	2165
516	2314	2162
517	2317	2156
518	2321	2151
519	2323	2144
520	2328	2140
521	2332	2135
522	2334	2129
523	2336	2122
524	2338	2115
525	2341	2109
526	2344	2104
527	2346	2097
528	2349	2091
529	2356	2089
530	2359	2084
531	2361	2077
532	2364	2071
533	2366	2065
534	2369	2059
535	2371	2053
536	2374	2047
537	2378	2042
538	2380	2036
539	2384	2031
540	2387	2025
541	2393	2022
542	2397	2017
543	2400	2012
544	2405	2008
545	2407	2001
546	2409	1995
547	2411	1989
548	2413	1982
549	2418	1978
550	2421	1972
551	2423	1967
552	2426	1961
553	2428	1954
554	2431	1949
555	2434	1943
556	2436	1937
557	2438	1931
558	2440	1925
559	2442	1918
560	2443	1912
561	2447	1907
562	2450	1902
563	2453	1896
564	2455	1890
565	2457	1884
566	2459	1878
567	2462	1873
568	2465	1867
569	2467	1861
570	2469	1855
571	2471	1849
572	2473	1843
573	2476	1838
574	2480	1833
575	2482	1827
576	2484	1821
577	2486	1815
578	2488	1809
579	2492	1804
580	2494	1799
581	2497	1793
582	2499	1787
583	2501	1781
584	2503	1776
585	2507	1771
586	2509	1765
587	2511	1760
588	2514	1754
589	2516	1748
590	2520	1744
591	2523	1739
592	2527	1734
593	2529	1729
594	2531	1723
595	2533	1717
596	2539	1714
597	2541	1708
598	2543	1702
599	2545	1697
600	2547	1691
601	2551	1686
602	2553	1681
603	2556	1675
604	2558	1670
605	2560	1664
606	2562	1659
607	2566	1654
608	2569	1649
609	2571	1644
610	2573	1638
611	2577	1634
612	2580	1629
613	2583	1624
614	2586	1619
615	2590	1614
616	2593	1609
617	2597	1605
618	2602	1601
619	2604	1596
620	2607	1591
621	2609	1585
622	2614	1581
623	2616	1576
624	2618	1571
625	2620	1565
626	2623	1560
627	2630	1558
628	2633	1553
629	2635	1548
630	2638	1542
631	2640	1537
632	2644	1533
633	2647	1528
634	2651	1524
635	2654	1519
636	2656	1513
637	2659	1509
638	2663	1504
639	2667	1500
640	2669	1495
641	2674	1491
642	2679	1487
643	2682	1482
644	2684	1477
645	2696	1477
646	2699	1472
647	2701	1467
648	2704	1462
649	2708	1458
650	2710	1452
651	2712	1447
652	2715	1442
653	2719	1438
654	2723	1434
655	2725	1429
656	2727	1424
657	2730	1419
658	2732	1414
659	2736	1409
660	2738	1404
661	2740	1399
662	2742	1393
663	2744	1388
664	2746	1383
665	2750	1379
666	2758	1377
667	2761	1372
668	2764	1368
669	2768	1363
670	2771	1358
671	2774	1354
672	2789	1355
673	2792	1350
674	2794	1345
675	2798	1341
676	2801	1336
677	2803	1331
678	2806	1326
679	2808	1321
680	2810	1316
681	2814	1312
682	2816	1307
683	2818	1302
684	2820	1297
685	2822	1291
686	2824	1286
687	2828	1282
688	2830	1277
689	2832	1272
690	2834	1267
691	2836	1262
692	2838	1257
693	2840	1252
694	2845	1248
695	2847	1243
696	2849	1238
697	2851	1233
698	2854	1229
699	2858	1225
700	2861	1220
701	2863	1215
702	2865	1210
703	2867	1205
704	2869	1200
705	2873	1196
706	2876	1191
707	2878	1187
708	2880	1182
709	2882	1177
710	2884	1172
711	2886	1167
712	2891	1164
713	2894	1159
714	2896	1154
715	2899	1149
716	2905	1146
717	2907	1142
718	2910	1137
719	2912	1132
720	2914	1127
721	2918	1123
722	2920	1119
723	2923	1114
724	2926	1109
725	2928	1105
726	2929	1100
727	2934	1096
728	2940	1092
729	2942	1088
730	2945	1083
731	2951	1080
732	2954	1076
733	2956	1071
734	2958	1066
735	2960	1062
736	2965	1058
737	2968	1053
738	2971	1049
739	2974	1044
740	2976	1040
741	2979	1036
742	2982	1031
743	2986	1027
744	2989	1023
745	2995	1020
746	2999	1015
747	3001	1011
748	3003	1006
749	3005	1001
750	3007	997
751	3012	993
752	3018	990
753	3020	985
754	3022	980
755	3028	977
756	3030	972
757	3032	968
758	3035	963
759	3038	959
760	3041	955
761	3044	950
762	3046	946
763	3048	941
764	3050	937
765	3052	932
766	3055	928
767	3058	923
768	3060	919
769	3062	914
770	3064	910
771	3066	905
772	3069	901
773	3072	897
774	3074	892
775	3076	888
776	3078	883
777	3081	879
778	3085	875
779	3089	871
780	3091	866
781	3094	862
782	3096	858
783	3098	853
784	3102	849
785	3104	845
786	3107	840
787	3109	836
788	3111	832
789	3113	827
790	3118	823
791	3121	819
792	3123	815
793	3125	810
794	3128	806
795	3133	802
796	3135	798
797	3137	794
798	3139	789
799	3142	785
800	3144	781
801	3148	777
802	3150	772
803	3152	768
804	3154	764
805	3156	759
806	3158	755
807	3162	751
808	3164	747
809	3166	742
810	3168	738
811	3171	734
812	3173	729
813	3182	727
814	3185	723
815	3188	718
816	3192	715
817	3195	710
818	3197	706
819	3199	702
820	3203	698
821	3216	696
822	3219	692
823	3227	689
824	3231	685
825	3234	681
826	3236	677
827	3244	673
828	3247	669
829	3250	665
830	3253	661
831	3257	657
832	3260	653
833	3262	649
834	3265	645
835	3269	641
836	3275	637
837	3278	633
838	3282	629
839	3286	626
840	3290	622
841	3294	618
842	3296	614
843	3310	611
844	3318	608
845	3323	605
846	3325	600
847	3329	596
848	3334	593
849	3337	588
850	3339	584
851	3342	580
852	3343	576
853	3347	572
854	3349	568
855	3352	563
856	3354	559
857	3356	555
858	3358	551
859	3364	547
860	3366	543
861	3369	539
862	3378	536
863	3383	532
864	3386	528
865	3388	524
866	3391	520
867	3397	516
868	3399	512
869	3402	508
870	3406	504
871	3410	500
872	3414	496
873	3417	492
874	3420	488
875	3427	485
876	3430	481
877	3434	477
878	3443	474
879	3446	470
880	3449	465
881	3452	461
882	3460	458
883	3463	454
884	3466	450
885	3473	446
886	3476	442
887	3480	439
888	3488	435
889	3492	431
890	3496	427
891	3499	423
892	3503	419
893	3507	415
894	3509	411
895	3512	407
896	3515	403
897	3522	400
898	3526	396
899	3528	392
900	3531	388
901	3535	384
902	3539	380
903	3541	376
904	3544	372
905	3550	368
906	3555	364
907	3558	360
908	3561	356
909	3566	352
910	3569	348
911	3572	344
912	3576	340
913	3583	337
914	3585	333
915	3587	329
916	3589	324
917	3592	320
918	3595	316
919	3599	312
920	3601	308
921	3603	304
922	3605	300
923	3607	296
924	3612	292
925	3615	288
926	3617	284
927	3619	280
928	3621	276
929	3624	272
930	3628	268
931	3630	264
932	3632	260
933	3635	256
934	3637	252
935	3639	248
936	3643	244
937	3645	240
938	3648	237
939	3650	233
940	3653	229
941	3656	225
942	3659	221
943	3662	217
944	3665	213
945	3668	209
946	3679	205
947	3682	202
948	3687	198
949	3690	194
950	3693	190
951	3701	186
952	3707	182
953	3709	178
954	3711	174
955	3713	170
956	3717	167
957	3719	163
958	3721	159
959	3724	155
960	3726	151
961	3728	147
962	3732	143
963	3735	139
964	3737	135
965	3739	131
966	3741	127
967	3743	123
968	3747	119
969	3751	116
970	3753	112
971	3755	108
972	3757	104
973	3759	100
974	3765	96
975	3768	92
976	3770	88
977	3773	84
978	3779	81
979	3782	77
980	3784	73
981	3787	69
982	3789	65
983	3795	61
984	3797	57
985	3800	53
986	3802	50
987	3804	46
988	3807	42
989	3811	38
990	3813	34
991	3815	30
992	3817	26
993	3819	23
994	3824	19
995	3828	15
996	3830	11
997	3832	7
998	3834	3
999	3837	0
